tipo,quantidade,faixaEtaria,letalidade,mortalidade,data
Óbitos,0,71-79,0.0,0.0,2020-01-18
Óbitos,0,80 ou mais,0.0,0.0,2020-01-18
Óbitos,0,00-02,0.0,0.0,2020-01-19
Óbitos,0,03-04,0.0,0.0,2020-01-19
Óbitos,0,05-11,0.0,0.0,2020-01-19
Óbitos,0,12-17,0.0,0.0,2020-01-19
Óbitos,0,18-30,0.0,0.0,2020-01-19
Óbitos,0,31-40,0.0,0.0,2020-01-19
Óbitos,0,41-50,0.0,0.0,2020-01-19
Óbitos,0,51-60,0.0,0.0,2020-01-19
Óbitos,0,61-70,0.0,0.0,2020-01-19
Óbitos,0,71-79,0.0,0.0,2020-01-19
Óbitos,0,80 ou mais,0.0,0.0,2020-01-19
Óbitos,0,00-02,0.0,0.0,2020-01-20
Óbitos,0,03-04,0.0,0.0,2020-01-20
Óbitos,0,05-11,0.0,0.0,2020-01-20
Óbitos,0,12-17,0.0,0.0,2020-01-20
Óbitos,0,18-30,0.0,0.0,2020-01-20
Óbitos,0,31-40,0.0,0.0,2020-01-20
Óbitos,0,41-50,0.0,0.0,2020-01-20
Óbitos,0,51-60,0.0,0.0,2020-01-20
Óbitos,0,61-70,0.0,0.0,2020-01-20
Óbitos,0,71-79,0.0,0.0,2020-01-20
Óbitos,0,80 ou mais,0.0,0.0,2020-01-20
Óbitos,0,00-02,0.0,0.0,2020-01-21
Óbitos,0,03-04,0.0,0.0,2020-01-21
Óbitos,0,05-11,0.0,0.0,2020-01-21
Óbitos,0,12-17,0.0,0.0,2020-01-21
Óbitos,0,18-30,0.0,0.0,2020-01-21
Óbitos,0,31-40,0.0,0.0,2020-01-21
Óbitos,0,41-50,0.0,0.0,2020-01-21
Óbitos,0,51-60,0.0,0.0,2020-01-21
Óbitos,0,61-70,0.0,0.0,2020-01-21
Óbitos,0,71-79,0.0,0.0,2020-01-21
Óbitos,0,80 ou mais,0.0,0.0,2020-01-21
Óbitos,0,00-02,0.0,0.0,2020-01-22
Óbitos,0,03-04,0.0,0.0,2020-01-22
Óbitos,0,05-11,0.0,0.0,2020-01-22
Óbitos,0,12-17,0.0,0.0,2020-01-22
Óbitos,0,18-30,0.0,0.0,2020-01-22
Óbitos,0,31-40,0.0,0.0,2020-01-22
Óbitos,0,41-50,0.0,0.0,2020-01-22
Óbitos,0,51-60,0.0,0.0,2020-01-22
Óbitos,0,61-70,0.0,0.0,2020-01-22
Óbitos,0,71-79,0.0,0.0,2020-01-22
Óbitos,0,80 ou mais,0.0,0.0,2020-01-22
Óbitos,0,00-02,0.0,0.0,2020-01-23
Óbitos,0,03-04,0.0,0.0,2020-01-23
Óbitos,0,05-11,0.0,0.0,2020-01-23
Óbitos,0,12-17,0.0,0.0,2020-01-23
Óbitos,0,18-30,0.0,0.0,2020-01-23
Óbitos,0,31-40,0.0,0.0,2020-01-23
Óbitos,0,41-50,0.0,0.0,2020-01-23
Óbitos,0,51-60,0.0,0.0,2020-01-23
Óbitos,0,61-70,0.0,0.0,2020-01-23
Óbitos,0,71-79,0.0,0.0,2020-01-23
Óbitos,0,80 ou mais,0.0,0.0,2020-01-23
Óbitos,0,00-02,0.0,0.0,2020-01-24
Óbitos,0,03-04,0.0,0.0,2020-01-24
Óbitos,0,05-11,0.0,0.0,2020-01-24
Óbitos,0,12-17,0.0,0.0,2020-01-24
Óbitos,0,18-30,0.0,0.0,2020-01-24
Óbitos,0,31-40,0.0,0.0,2020-01-24
Óbitos,0,41-50,0.0,0.0,2020-01-24
Óbitos,0,51-60,0.0,0.0,2020-01-24
Óbitos,0,61-70,0.0,0.0,2020-01-24
Óbitos,0,71-79,0.0,0.0,2020-01-24
Óbitos,0,80 ou mais,0.0,0.0,2020-01-24
Óbitos,0,00-02,0.0,0.0,2020-01-25
Óbitos,0,03-04,0.0,0.0,2020-01-25
Óbitos,0,05-11,0.0,0.0,2020-01-25
Óbitos,0,12-17,0.0,0.0,2020-01-25
Óbitos,0,18-30,0.0,0.0,2020-01-25
Óbitos,0,31-40,0.0,0.0,2020-01-25
Óbitos,0,41-50,0.0,0.0,2020-01-25
Óbitos,0,51-60,0.0,0.0,2020-01-25
Óbitos,0,61-70,0.0,0.0,2020-01-25
Óbitos,0,71-79,0.0,0.0,2020-01-25
Óbitos,0,80 ou mais,0.0,0.0,2020-01-25
Óbitos,0,00-02,0.0,0.0,2020-01-26
Óbitos,0,03-04,0.0,0.0,2020-01-26
Óbitos,0,05-11,0.0,0.0,2020-01-26
Óbitos,0,12-17,0.0,0.0,2020-01-26
Óbitos,0,18-30,0.0,0.0,2020-01-26
Óbitos,0,31-40,0.0,0.0,2020-01-26
Óbitos,0,41-50,0.0,0.0,2020-01-26
Óbitos,0,51-60,0.0,0.0,2020-01-26
Óbitos,0,61-70,0.0,0.0,2020-01-26
Óbitos,0,71-79,0.0,0.0,2020-01-26
Óbitos,0,80 ou mais,0.0,0.0,2020-01-26
Óbitos,0,00-02,0.0,0.0,2020-01-27
Óbitos,0,03-04,0.0,0.0,2020-01-27
Óbitos,0,05-11,0.0,0.0,2020-01-27
Óbitos,0,12-17,0.0,0.0,2020-01-27
Óbitos,0,18-30,0.0,0.0,2020-01-27
Óbitos,0,31-40,0.0,0.0,2020-01-27
Óbitos,0,41-50,0.0,0.0,2020-01-27
Óbitos,0,51-60,0.0,0.0,2020-01-27
Óbitos,0,61-70,0.0,0.0,2020-01-27
Óbitos,0,71-79,0.0,0.0,2020-01-27
Óbitos,0,80 ou mais,0.0,0.0,2020-01-27
Óbitos,0,00-02,0.0,0.0,2020-01-28
Óbitos,0,03-04,0.0,0.0,2020-01-28
Óbitos,0,05-11,0.0,0.0,2020-01-28
Óbitos,0,12-17,0.0,0.0,2020-01-28
Óbitos,0,18-30,0.0,0.0,2020-01-28
Óbitos,0,31-40,0.0,0.0,2020-01-28
Óbitos,0,41-50,0.0,0.0,2020-01-28
Óbitos,0,51-60,0.0,0.0,2020-01-28
Óbitos,0,61-70,0.0,0.0,2020-01-28
Óbitos,0,71-79,0.0,0.0,2020-01-28
Óbitos,0,80 ou mais,0.0,0.0,2020-01-28
Óbitos,0,00-02,0.0,0.0,2020-01-29
Óbitos,0,03-04,0.0,0.0,2020-01-29
